session_id,customer_id,session_start,device_type,traffic_source,experiment_group,session_duration_sec,completed_order,order_value
CS0000001,,2026-03-02 00:00:46,Android,Direct,control,220,1,3601
CS0000002,,2026-03-02 00:01:10,Android,Direct,treatment,273,1,3071
CS0000003,C019176,2026-03-02 00:02:09,Android,Direct,treatment,334,0,
CS0000004,,2026-03-02 00:02:17,Desktop,App,control,91,1,3779
CS0000005,C028837,2026-03-02 00:02:25,Android,App,control,72,0,
CS0000006,C009989,2026-03-02 00:03:49,Android,App,control,123,1,5069
CS0000007,C000016,2026-03-02 00:04:41,iOS,App,treatment,102,1,10225
CS0000008,C012437,2026-03-02 00:05:31,Android,App,treatment,328,0,
CS0000009,C024990,2026-03-02 00:05:40,iOS,Direct,treatment,78,1,2579
CS0000010,,2026-03-02 00:06:01,Android,App,treatment,152,1,1263
CS0000011,C021350,2026-03-02 00:06:02,Desktop,App,control,126,1,5418
CS0000012,,2026-03-02 00:06:14,Desktop,Organic Search,treatment,191,0,
CS0000013,C027505,2026-03-02 00:06:51,iOS,Paid Social,treatment,338,1,3173
CS0000014,C001414,2026-03-02 00:07:02,Desktop,Direct,control,186,0,
CS0000015,C005203,2026-03-02 00:08:34,Desktop,App,treatment,173,0,
CS0000016,C010777,2026-03-02 00:08:46,iOS,App,control,156,0,
CS0000017,,2026-03-02 00:09:24,Android,Organic Search,control,86,1,3342
CS0000018,,2026-03-02 00:09:59,Android,Paid Social,treatment,102,1,8854
CS0000019,C015397,2026-03-02 00:12:31,Android,Paid Social,control,236,1,20592
CS0000020,C011349,2026-03-02 00:12:39,Desktop,Paid Social,treatment,94,1,9762
CS0000021,,2026-03-02 00:14:58,Desktop,Direct,treatment,88,0,
CS0000022,C024282,2026-03-02 00:16:28,Android,App,control,217,0,
CS0000023,C012240,2026-03-02 00:17:25,iOS,App,treatment,183,1,2557
CS0000024,C025633,2026-03-02 00:17:29,Desktop,App,treatment,473,1,23502
CS0000025,C012259,2026-03-02 00:18:14,Android,App,treatment,218,0,
CS0000026,C015540,2026-03-02 00:18:38,Android,Organic Search,control,220,0,
CS0000027,C023734,2026-03-02 00:19:24,Android,App,treatment,243,0,
CS0000028,C025897,2026-03-02 00:19:35,Android,App,treatment,108,1,9050
CS0000029,,2026-03-02 00:20:20,Android,Direct,control,89,0,
CS0000030,,2026-03-02 00:20:49,Desktop,Direct,treatment,0,0,
CS0000031,,2026-03-02 00:22:07,iOS,Organic Search,treatment,88,1,6806
CS0000032,C020686,2026-03-02 00:22:14,Android,App,treatment,66,1,5768
CS0000033,C012481,2026-03-02 00:24:04,Desktop,Organic Search,control,295,1,4438
CS0000034,C029232,2026-03-02 00:25:25,Android,Paid Social,control,287,0,
CS0000035,C001742,2026-03-02 00:25:37,Android,Referral,treatment,192,1,11118
CS0000036,C028004,2026-03-02 00:26:00,Android,App,control,117,1,2267
CS0000037,,2026-03-02 00:26:55,Android,Organic Search,treatment,158,0,
CS0000038,,2026-03-02 00:27:17,Android,Paid Social,treatment,305,0,
CS0000039,C022453,2026-03-02 00:27:26,Android,App,control,131,1,4130
CS0000040,C014395,2026-03-02 00:27:43,Desktop,App,control,120,1,12159
CS0000041,C003670,2026-03-02 00:27:48,Android,Organic Search,treatment,411,0,
CS0000042,C018244,2026-03-02 00:28:23,Android,App,treatment,154,1,10173
CS0000043,,2026-03-02 00:28:39,Android,App,treatment,248,1,1475
CS0000044,C014926,2026-03-02 00:28:44,Android,App,treatment,180,0,
CS0000045,C002646,2026-03-02 00:29:01,Desktop,Paid Social,Control,229,0,
CS0000046,,2026-03-02 00:29:24,Android,Organic Search,treatment,161,1,9585
CS0000047,C003221,2026-03-02 00:30:44,Desktop,App,treatment,94,1,2088
CS0000048,C012252,2026-03-02 00:31:07,iOS,App,control,318,1,1966
CS0000049,,2026-03-02 00:31:41,Desktop,Organic Search,control,235,0,
CS0000050,C019934,2026-03-02 00:31:41,Android,Direct,control,157,0,
CS0000051,C021935,2026-03-02 00:31:43,Android,Organic Search,control,256,1,2686
