order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI0000001,ORD0000001,P00449,1,3499,0
OI0000002,ORD0000001,P00301,1,449,0
OI0000003,ORD0000002,P00437,1,1949,0
OI0000004,ORD0000003,P00590,1,2399,0
OI0000005,ORD0000003,P00220,1,7099,0
OI0000006,ORD0000003,P00541,2,599,0
OI0000007,ORD0000004,P00401,1,3314,15
OI0000008,ORD0000005,P00090,1,1359,15
OI0000009,ORD0000005,P00042,1,2549,15
OI0000010,ORD0000005,P00285,1,679,15
OI0000011,ORD0000006,P00039,1,4099,0
OI0000012,ORD0000007,P00629,1,4499,0
OI0000013,ORD0000008,P00380,1,5899,0
OI0000014,ORD0000009,P00124,1,3484,15
OI0000015,ORD0000009,P00189,1,2974,15
OI0000016,ORD0000010,P00197,1,2599,0
OI0000017,ORD0000011,P00408,1,3314,15
OI0000018,ORD0000012,P00203,1,6499,0
OI0000019,ORD0000012,P00285,1,799,0
OI0000020,ORD0000013,P00337,1,2199,0
OI0000021,ORD0000014,P00563,3,1104,15
OI0000022,ORD0000014,P00080,1,1487,15
OI0000023,ORD0000015,P00365,1,1149,0
OI0000024,ORD0000016,P00438,1,9499,0
OI0000025,ORD0000017,P00416,1,2804,15
OI0000026,ORD0000018,P00520,2,3569,15
OI0000027,ORD0000019,P00408,1,3314,15
OI0000028,ORD0000020,P00299,1,1049,0
OI0000029,ORD0000021,P00257,1,24054,15
OI0000030,ORD0000022,P00066,1,2799,0
OI0000031,ORD0000023,P00563,2,1299,0
OI0000032,ORD0000024,P00354,1,1487,15
OI0000033,ORD0000025,P00527,3,949,0
OI0000034,ORD0000025,P00197,1,2599,0
OI0000035,ORD0000026,P00510,3,5199,0
OI0000036,ORD0000027,P00408,1,3314,15
OI0000037,ORD0000027,P00051,1,934,15
OI0000038,ORD0000027,P00623,1,3399,15
OI0000039,ORD0000027,P00053,1,4164,15
OI0000040,ORD0000028,P00607,1,2999,0
OI0000041,ORD0000029,P00330,1,2039,15
OI0000042,ORD0000029,P00586,1,2464,15
OI0000043,ORD0000030,P00510,1,5199,0
OI0000044,ORD0000031,P00231,1,118899,0
OI0000045,ORD0000032,P00315,1,1104,15
OI0000046,ORD0000033,P00313,1,1487,15
OI0000047,ORD0000034,P00579,1,934,15
OI0000048,ORD0000035,P00546,2,552,15
OI0000049,ORD0000036,P00380,1,5014,15
OI0000050,ORD0000036,P00202,1,5439,15
OI0000051,ORD0000037,P00315,1,1299,0
OI0000052,ORD0000038,P00581,1,1954,15
OI0000053,ORD0000039,P00256,1,40799,0
OI0000054,ORD0000040,P00076,1,2499,0
OI0000055,ORD0000040,P00130,1,4299,0
OI0000056,ORD0000041,P00625,1,5299,0
OI0000057,ORD0000042,P00193,1,4599,0
OI0000058,ORD0000043,P00557,2,382,15
OI0000059,ORD0000043,P00158,1,1699,15
OI0000060,ORD0000044,P00459,1,2699,0
OI0000061,ORD0000045,P00188,1,2599,0
OI0000062,ORD0000045,P00408,1,3899,0
OI0000063,ORD0000046,P00462,2,599,0
OI0000064,ORD0000046,P00581,1,2299,0
OI0000065,ORD0000046,P00456,1,999,0
OI0000066,ORD0000046,P00255,1,14299,0
OI0000067,ORD0000047,P00033,1,2399,0
OI0000068,ORD0000047,P00612,1,2399,0
OI0000069,ORD0000047,P00132,1,6099,0
OI0000070,ORD0000048,P00090,1,1599,0
OI0000071,ORD0000048,P00071,1,4899,0
OI0000072,ORD0000049,P00296,1,3199,0
OI0000073,ORD0000049,P00056,1,1949,0
OI0000074,ORD0000050,P00285,1,799,0
OI0000075,ORD0000051,P00282,1,799,0
OI0000076,ORD0000052,P00401,1,3899,0
OI0000077,ORD0000053,P00285,1,799,0
OI0000078,ORD0000054,P00438,1,8074,15
OI0000079,ORD0000055,P00309,1,1104,15
OI0000080,ORD0000055,P00189,1,2974,15
OI0000081,ORD0000056,P00246,1,17899,0
OI0000082,ORD0000057,P00474,1,8299,0
OI0000083,ORD0000058,P00276,1,1799,0
OI0000084,ORD0000058,P00533,1,3399,0
OI0000085,ORD0000059,P00220,1,6034,15
OI0000086,ORD0000060,P00628,1,1869,15
OI0000087,ORD0000061,P00573,3,1099,0
OI0000088,ORD0000062,P00315,1,1299,0
OI0000089,ORD0000063,P00401,1,3899,0
OI0000090,ORD0000064,P00152,1,2464,15
OI0000091,ORD0000064,P00315,1,1104,15
OI0000092,ORD0000064,P00217,1,10369,15
OI0000093,ORD0000065,P00488,1,1249,0
OI0000094,ORD0000065,P00493,3,2599,0
OI0000095,ORD0000065,P00527,2,949,0
OI0000096,ORD0000066,P00163,1,2719,15
OI0000097,ORD0000067,P00309,1,1299,0
OI0000098,ORD0000067,P00572,1,399,0
OI0000099,ORD0000068,P00173,1,3699,0
OI0000100,ORD0000069,P00269,1,764,15
OI0000101,ORD0000069,P00594,2,1189,15
OI0000102,ORD0000070,P00511,1,3999,0
OI0000103,ORD0000071,P00605,1,2299,0
OI0000104,ORD0000071,P00124,1,4099,0
OI0000105,ORD0000071,P00478,2,699,0
OI0000106,ORD0000072,P00415,1,2039,15
OI0000107,ORD0000072,P00007,1,4249,15
OI0000108,ORD0000073,P00042,1,2999,0
OI0000109,ORD0000074,P00603,1,1099,0
OI0000110,ORD0000075,P00162,1,4079,15
OI0000111,ORD0000076,P00529,1,1199,0
OI0000112,ORD0000077,P00309,1,1104,15
OI0000113,ORD0000078,P00488,3,1249,0
OI0000114,ORD0000078,P00255,1,14299,0
OI0000115,ORD0000079,P00026,1,1449,0
OI0000116,ORD0000079,P00124,1,4099,0
OI0000117,ORD0000080,P00331,1,1529,15
OI0000118,ORD0000080,P00470,2,2039,15
OI0000119,ORD0000081,P00605,1,2299,0
OI0000120,ORD0000082,P00010,1,1699,15
OI0000121,ORD0000082,P00336,1,1657,15
OI0000122,ORD0000083,P00153,1,1954,15
OI0000123,ORD0000083,P00408,1,3314,15
