order_id,customer_id,order_datetime,shipping_city,payment_method,promo_code,courier,promised_delivery_date,delivered_at,order_status,shipping_fee
ORD0000001,C000003,01/01/2024 01:50,Mardan,COD,NONE,PakRider,07/01/2024,,RTO,Rs. 0
ORD0000002,C000008,01/01/2024 03:28,Karachi,COD,NONE,CityExpress,04/01/2024,03/01/2024 10:54,DLVD,Rs. 150
ORD0000003,C000020,01/01/2024 10:20,Lahore,COD,NONE,SwiftShip,04/01/2024,03/01/2024 15:39,DLVD,Rs. 0
ORD0000004,C000014,01/01/2024 11:14,Abbottabad,CC,WELCOME15,SwiftShip,07/01/2024,05/01/2024 15:07,DLVD,Rs. 0
ORD0000005,C000029,01/01/2024 11:26,Karachi,COD,WELCOME15,CityExpress,04/01/2024,03/01/2024 16:59,DLVD,Rs. 0
ORD0000006,C000007,01/01/2024 13:11,Rawalpindi,CC,NONE,PakRider,04/01/2024,04/01/2024 18:13,DLVD,Rs. 0
ORD0000007,C000026,01/01/2024 15:07,Lahore,COD,NONE,SwiftShip,04/01/2024,,RTO,Rs. 0
ORD0000008,C000012,01/01/2024 15:21,Bahawalpur,COD,NONE,PakRider,07/01/2024,06/01/2024 19:13,DLVD,Rs. 0
ORD0000009,C000024,01/01/2024 15:35,Abbottabad,COD,WELCOME15,RapidRoute,07/01/2024,06/01/2024 12:43,DLVD,Rs. 0
ORD0000010,C000025,01/01/2024 19:54,Peshawar,COD,NONE,SwiftShip,05/01/2024,03/01/2024 17:01,DLVD,Rs. 0
ORD0000011,C000006,01/01/2024 20:06,Lahore,WALLET,WELCOME15,SwiftShip,04/01/2024,03/01/2024 16:05,DLVD,Rs. 0
ORD0000012,C000002,01/01/2024 20:10, Lahore,CC,NONE,SwiftShip,04/01/2024,04/01/2024 11:59,DLVD,Rs. 0
ORD0000013,C000013,01/01/2024 20:11,Karachi,COD,NONE,SwiftShip,04/01/2024,03/01/2024 14:26,DLVD,Rs. 150
ORD0000014,C000023,01/01/2024 21:22,Peshawar,CC,WELCOME15,CityExpress,05/01/2024,05/01/2024 17:44,DLVD,Rs. 0
ORD0000015,C000015,01/01/2024 21:23,Islamabad,COD,NONE,PakRider,04/01/2024,03/01/2024 17:27,DLVD,Rs. 150
ORD0000016,C000019,01/01/2024 22:34,Sialkot,COD,NONE,PakRider,05/01/2024,04/01/2024 14:58,DLVD,Rs. 0
ORD0000017,C000017,01/01/2024 22:42,Islamabad,Cash on Delivery,WELCOME15,SwiftShip,04/01/2024,02/01/2024 13:42,DLVD,Rs. 0
