return_id,order_item_id,order_id,return_reason,return_requested_date,refund_amount
RT000001,OI0000009,ORD0000005,Changed mind,2024-01-05,2549
RT000002,OI0000014,ORD0000009,Changed mind,2024-01-08,3484
RT000003,OI0000023,ORD0000015,Changed mind,2024-01-09,1149
RT000004,OI0000079,ORD0000055,Not as described,2024-01-09,1104
RT000005,OI0000011,ORD0000006,Size or fit issue,2024-01-11,4099
RT000006,OI0000071,ORD0000048,Size or fit issue,2024-01-11,4899
RT000007,OI0000189,ORD0000123,Not as described,2024-01-11,1189
RT000008,OI0000105,ORD0000071,Arrived too late,2024-01-12,1398
RT000009,OI0000122,ORD0000083,Size or fit issue,2024-01-12,1954
RT000010,OI0000148,ORD0000098,Not as described,2024-01-12,599
RT000011,OI0000158,ORD0000103,Arrived too late,2024-01-12,2399
RT000012,OI0000180,ORD0000117,Defective or damaged,2024-01-12,5779
RT000013,OI0000174,ORD0000114,Not as described,2024-01-13,4499
RT000014,OI0000106,ORD0000072,Defective or damaged,2024-01-14,2039
RT000015,OI0000083,ORD0000058,Defective or damaged,2024-01-15,1799
RT000016,OI0000246,ORD0000161,Size or fit issue,2024-01-15,1049
RT000017,OI0000253,ORD0000167,Not as described,2024-01-15,2399
RT000018,OI0000255,ORD0000169,Not as described,2024-01-15,3399
RT000019,OI0000278,ORD0000183,Changed mind,2024-01-16,2799
RT000020,OI0000225,ORD0000147,Size or fit issue,2024-01-17,4099
RT000021,OI0000303,ORD0000200,Size or fit issue,2024-01-17,3144
RT000022,OI0000305,ORD0000201,Changed mind,2024-01-17,26349
RT000023,OI0000257,ORD0000170,Size or fit issue,2024-01-18,2199
RT000024,OI0000223,ORD0000147,Not as described,2024-01-19,2799
RT000025,OI0000282,ORD0000185,Changed mind,2024-01-19,4079
RT000026,OI0000427,ORD0000278,Size or fit issue,2024-01-19,3599
RT000027,OI0000457,ORD0000299,Arrived too late,2024-01-19,1149
RT000028,OI0000317,ORD0000210,Size or fit issue,2024-01-20,5499
RT000029,OI0000525,ORD0000340,Size or fit issue,2024-01-21,6799
RT000030,OI0000316,ORD0000210,Not as described,2024-01-22,80999
RT000031,OI0000493,ORD0000323,Not as described,2024-01-22,2499
RT000032,OI0000357,ORD0000232,Changed mind,2024-01-23,1999
RT000033,OI0000397,ORD0000255,Size or fit issue,2024-01-23,3484
RT000034,OI0000452,ORD0000296,Changed mind,2024-01-23,799
RT000035,OI0000460,ORD0000302,Arrived too late,2024-01-23,3899
RT000036,OI0000465,ORD0000306,Size or fit issue,2024-01-24,3699
RT000037,OI0000616,ORD0000399,Size or fit issue,2024-01-24,4199
RT000038,OI0000539,ORD0000348,Not as described,2024-01-25,4899
RT000039,OI0000562,ORD0000367,Changed mind,2024-01-25,1299
RT000040,OI0000575,ORD0000375,Defective or damaged,2024-01-25,3999
RT000041,OI0000644,ORD0000421,Not as described,2024-01-25,28299
RT000042,OI0000666,ORD0000436,Not as described,2024-01-26,6099
RT000043,OI0000478,ORD0000316,Defective or damaged,2024-01-27,2399
RT000044,OI0000503,ORD0000328,Size or fit issue,2024-01-29,2399
RT000045,OI0000791,ORD0000515,Not as described,2024-01-29,2999
RT000046,OI0000793,ORD0000516,Defective or damaged,2024-01-30,2999
RT000047,OI0000601,ORD0000390,Changed mind,2024-01-31,1049
RT000048,OI0000755,ORD0000497,Not as described,2024-01-31,4499
RT000049,OI0000860,ORD0000558,Defective or damaged,2024-01-31,3299
RT000050,OI0000871,ORD0000565,Changed mind,2024-01-31,3399
RT000051,OI0000684,ORD0000447,Defective or damaged,2024-02-01,2599
RT000052,OI0000712,ORD0000466,Defective or damaged,2024-02-01,7819
RT000053,OI0000764,ORD0000502,Size or fit issue,2024-02-02,949
RT000054,OI0000844,ORD0000549,Size or fit issue,2024-02-02,3314
RT000055,OI0000854,ORD0000554,Not as described,2024-02-02,6799
RT000056,OI0000925,ORD0000607,Defective or damaged,2024-02-02,2699
RT000057,OI0000889,ORD0000581,Not as described,2024-02-03,1249
RT000058,OI0000809,ORD0000525,Size or fit issue,2024-02-04,3799
RT000059,OI0000901,ORD0000591,Changed mind,2024-02-05,5399
RT000060,OI0000947,ORD0000625,Defective or damaged,2024-02-05,1299
RT000061,OI0000869,ORD0000564,Changed mind,2024-02-06,101064
RT000062,OI0000986,ORD0000650,Not as described,2024-02-06,2399
RT000063,OI0001150,ORD0000754,Size or fit issue,2024-02-06,2799
RT000064,OI0001157,ORD0000758,Size or fit issue,2024-02-06,1699
RT000065,OI0000982,ORD0000647,Not as described,2024-02-07,3484
RT000066,OI0001003,ORD0000660,Arrived too late,2024-02-07,4899
RT000067,OI0001033,ORD0000679,Changed mind,2024-02-07,40799
RT000068,OI0001067,ORD0000697,Changed mind,2024-02-07,1104
RT000069,OI0001089,ORD0000711,Not as described,2024-02-07,4099
RT000070,OI0001034,ORD0000680,Defective or damaged,2024-02-08,8899
RT000071,OI0001045,ORD0000686,Changed mind,2024-02-08,1249
RT000072,OI0001051,ORD0000688,Size or fit issue,2024-02-08,8299
RT000073,OI0001087,ORD0000710,Changed mind,2024-02-08,2039
RT000074,OI0001124,ORD0000737,Arrived too late,2024-02-08,7998
RT000075,OI0001134,ORD0000744,Size or fit issue,2024-02-08,4599
RT000076,OI0001202,ORD0000790,Size or fit issue,2024-02-08,4499
RT000077,OI0001214,ORD0000801,Defective or damaged,2024-02-08,1499
RT000078,OI0001231,ORD0000810,Defective or damaged,2024-02-08,1299
RT000079,OI0001204,ORD0000792,Arrived too late,2024-02-09,898
RT000080,OI0001230,ORD0000809,Size or fit issue,2024-02-10,2499
RT000081,OI0001250,ORD0000821,Defective or damaged,2024-02-10,80999
RT000082,OI0001164,ORD0000761,Arrived too late,2024-02-11,4099
RT000083,OI0001243,ORD0000818,Not as described,2024-02-11,2634
RT000084,OI0001281,ORD0000844,Defective or damaged,2024-02-11,1104
RT000085,OI0001284,ORD0000844,Arrived too late,2024-02-11,4419
RT000086,OI0001311,ORD0000866,Size or fit issue,2024-02-11,3699
RT000087,OI0001344,ORD0000884,Changed mind,2024-02-11,3999
RT000088,OI0001363,ORD0000900,Arrived too late,2024-02-11,1649
RT000089,OI0001112,ORD0000731,Not as described,2024-02-12,3699
RT000090,OI0001373,ORD0000904,Defective or damaged,2024-02-12,799
RT000091,OI0001177,ORD0000770,Not as described,2024-02-13,4099
RT000092,OI0001304,ORD0000860,Defective or damaged,2024-02-13,1349
RT000093,OI0001314,ORD0000867,Not as described,2024-02-13,7999
RT000094,OI0001379,ORD0000909,Changed mind,2024-02-13,6799
RT000095,OI0001260,ORD0000830,Not as described,2024-02-14,1869
RT000096,OI0001295,ORD0000853,Not as described,2024-02-14,1299
RT000097,OI0001275,ORD0000839,Changed mind,2024-02-15,2124
RT000098,OI0001332,ORD0000878,Not as described,2024-02-15,399
RT000099,OI0001356,ORD0000893,Changed mind,2024-02-15,3499
RT000100,OI0001357,ORD0000894,Size or fit issue,2024-02-15,3484
RT000101,OI0001436,ORD0000946,Changed mind,2024-02-15,1949
RT000102,OI0001489,ORD0000976,Not as described,2024-02-15,4499
RT000103,OI0001510,ORD0000991,Size or fit issue,2024-02-15,1599
RT000104,OI0001547,ORD0001013,Not as described,2024-02-15,1614
RT000105,OI0001290,ORD0000848,Defective or damaged,2024-02-16,9199
RT000106,OI0001350,ORD0000887,Defective or damaged,2024-02-16,1149
RT000107,OI0001498,ORD0000982,Not as described,2024-02-16,892
RT000108,OI0001406,ORD0000927,Defective or damaged,2024-02-17,4419
RT000109,OI0001449,ORD0000955,Defective or damaged,2024-02-18,2099
RT000110,OI0001515,ORD0000996,Arrived too late,2024-02-18,1299
RT000111,OI0001562,ORD0001021,Changed mind,2024-02-18,5184
RT000112,OI0001621,ORD0001060,Not as described,2024-02-19,2999
RT000113,OI0001490,ORD0000976,Not as described,2024-02-20,3299
RT000114,OI0001672,ORD0001091,Arrived too late,2024-02-20,1549
RT000115,OI0001527,ORD0001003,Changed mind,2024-02-21,807
RT000116,OI0001590,ORD0001042,Not as described,2024-02-21,2599
RT000117,OI0001680,ORD0001096,Size or fit issue,2024-02-21,2299
RT000118,OI0001699,ORD0001107,Defective or damaged,2024-02-21,1899
RT000119,OI0001629,ORD0001066,Changed mind,2024-02-22,9264
RT000120,OI0001684,ORD0001098,Size or fit issue,2024-02-22,3699
RT000121,OI0001765,ORD0001151,Changed mind,2024-02-22,3699
