seller_id,seller_name,seller_city,joined_date,seller_type
S0001,Madina Enterprises,Lahore,2024-02-10,Marketplace Seller
S0002,Ravi Traders,Quetta,2023-03-25,Marketplace Seller
S0003,Clifton Traders,Lahore,2023-04-11,Marketplace Seller
S0004,Rehmat Emporium,Multan,2023-04-07,Marketplace Seller
S0005,Madina Store,Karachi,2023-01-07,Marketplace Seller
S0006,Indus Enterprises,Lahore,2025-02-28,Marketplace Seller
S0007,Hayat Enterprises,Karachi,2023-09-29,Official Store
S0008,Clifton Collection,Rawalpindi,2022-09-30,Marketplace Seller
S0009,Anarkali Mart,Lahore,2024-06-15,Marketplace Seller
S0010,Liberty Traders,Lahore,2023-07-01,Marketplace Seller
S0011,Sitara Store,Multan,2023-05-30,Marketplace Seller
S0012,Rehmat Enterprises,Multan,2022-06-16,Marketplace Seller
S0013,Ravi Emporium,Karachi,2022-03-22,Official Store
S0014,Rehmat Enterprises,Islamabad,2023-10-21,Marketplace Seller
S0015,Gulberg Store,Lahore,2024-02-06,Official Store
S0016,Anarkali Emporium,Lahore,2022-09-01,Marketplace Seller
S0017,Gulberg Emporium,Lahore,2024-07-17,Marketplace Seller
S0018,Johar Traders,Lahore,2021-11-15,Marketplace Seller
S0019,Bolan Enterprises,Karachi,2022-01-21,Marketplace Seller
S0020,Sitara Mart,Islamabad,2024-06-14,Marketplace Seller
S0021,Bolan Emporium,Lahore,2024-02-01,Official Store
S0022,Margalla Traders,Karachi,2023-02-02,Marketplace Seller
S0023,Barkat Collection,Lahore,2021-11-24,Marketplace Seller
S0024,Liberty Store,Lahore,2023-10-29,Marketplace Seller
S0025,Johar Mart,Karachi,2023-04-27,Marketplace Seller
S0026,Saddar Outlet,Rawalpindi,2023-03-28,Marketplace Seller
S0027,Chenab Enterprises,Rawalpindi,2022-09-02,Marketplace Seller
S0028,Madina Traders,Hyderabad,2024-04-23,Marketplace Seller
S0029,Barkat Mart,Lahore,2022-11-23,Marketplace Seller
S0030,Al-Noor Enterprises,Rawalpindi,2022-12-17,Marketplace Seller
S0031,Crescent Emporium,Islamabad,2022-07-27,Marketplace Seller
S0032,Rehmat Traders,Lahore,2023-12-27,Official Store
S0033,Hayat Traders,Lahore,2022-04-12,Marketplace Seller
S0034,Bolan Emporium,Lahore,2023-04-20,Official Store
S0035,Indus Outlet,Lahore,2023-12-03,Official Store
