cohort_month,months_since_first,cohort_size,active_customers,retention_pct
2024-01-01,0,582,582,100.00
2024-01-01,1,582,133,22.85
2024-01-01,2,582,107,18.38
2024-01-01,3,582,107,18.38
2024-01-01,4,582,63,10.82
2024-01-01,5,582,39,6.70
2024-01-01,6,582,38,6.53
2024-01-01,7,582,32,5.50
2024-01-01,8,582,23,3.95
2024-01-01,9,582,18,3.09
2024-01-01,10,582,17,2.92
2024-01-01,11,582,19,3.26
2024-01-01,12,582,10,1.72
2024-02-01,0,581,581,100.00
2024-02-01,1,581,149,25.65
2024-02-01,2,581,151,25.99
2024-02-01,3,581,81,13.94
2024-02-01,4,581,67,11.53
2024-02-01,5,581,44,7.57
2024-02-01,6,581,43,7.40
2024-02-01,7,581,35,6.02
2024-02-01,8,581,34,5.85
2024-02-01,9,581,27,4.65
2024-02-01,10,581,24,4.13
2024-02-01,11,581,16,2.75
2024-02-01,12,581,14,2.41
2024-03-01,0,572,572,100.00
2024-03-01,1,572,161,28.15
2024-03-01,2,572,102,17.83
2024-03-01,3,572,52,9.09
2024-03-01,4,572,40,6.99
2024-03-01,5,572,40,6.99
2024-03-01,6,572,34,5.94
2024-03-01,7,572,34,5.94
2024-03-01,8,572,11,1.92
2024-03-01,9,572,18,3.15
2024-03-01,10,572,15,2.62
2024-03-01,11,572,15,2.62
2024-03-01,12,572,10,1.75
2024-04-01,0,712,712,100.00
2024-04-01,1,712,154,21.63
2024-04-01,2,712,98,13.76
2024-04-01,3,712,85,11.94
2024-04-01,4,712,77,10.81
2024-04-01,5,712,51,7.16
2024-04-01,6,712,39,5.48
2024-04-01,7,712,41,5.76
2024-04-01,8,712,32,4.49
2024-04-01,9,712,17,2.39
2024-04-01,10,712,12,1.69
2024-04-01,11,712,14,1.97
2024-04-01,12,712,16,2.25
2024-05-01,0,644,644,100.00
2024-05-01,1,644,151,23.45
2024-05-01,2,644,110,17.08
2024-05-01,3,644,101,15.68
2024-05-01,4,644,57,8.85
2024-05-01,5,644,49,7.61
2024-05-01,6,644,48,7.45
2024-05-01,7,644,34,5.28
2024-05-01,8,644,24,3.73
2024-05-01,9,644,19,2.95
2024-05-01,10,644,24,3.73
2024-05-01,11,644,19,2.95
2024-05-01,12,644,17,2.64
2024-06-01,0,725,725,100.00
2024-06-01,1,725,155,21.38
2024-06-01,2,725,139,19.17
