order_date,orders,gmv
2024-01-01,19,89562.0
2024-01-02,10,72343.0
2024-01-03,12,195329.0
2024-01-04,18,113475.0
2024-01-05,15,68684.0
2024-01-06,17,77965.0
2024-01-07,25,276891.0
2024-01-08,19,95446.0
2024-01-09,21,178252.0
2024-01-10,26,235516.0
2024-01-11,21,170986.0
2024-01-12,20,199921.0
2024-01-13,26,399786.0
2024-01-14,16,78865.0
2024-01-15,23,181247.0
2024-01-16,24,150905.0
2024-01-17,30,367591.0
2024-01-18,22,369122.0
2024-01-19,35,412180.0
2024-01-20,18,227201.0
2024-01-21,28,276816.0
2024-01-22,27,383909.0
2024-01-23,23,121838.0
2024-01-24,25,174323.0
2024-01-25,23,196607.0
2024-01-26,26,379309.0
2024-01-27,28,142557.0
2024-01-28,25,165622.0
2024-01-29,32,451333.0
2024-01-30,12,79569.0
2024-01-31,26,439168.0
2024-02-01,25,227928.0
2024-02-02,28,185106.0
2024-02-03,29,456385.0
2024-02-04,29,123845.0
2024-02-05,28,358380.0
2024-02-06,39,389180.0
2024-02-07,22,193587.0
2024-02-08,30,213913.0
2024-02-09,17,131414.0
2024-02-10,33,341710.0
2024-02-11,29,217698.0
2024-02-12,29,246343.0
2024-02-13,20,298757.0
2024-02-14,36,251288.0
2024-02-15,32,416815.0
2024-02-16,30,193681.0
2024-02-17,25,156008.0
2024-02-18,42,353706.0
2024-02-19,37,284063.0
2024-02-20,30,163948.0
2024-02-21,30,182765.0
2024-02-22,31,462206.0
2024-02-23,31,208993.0
2024-02-24,31,226088.0
2024-02-25,35,247259.0
2024-02-26,29,343090.0
2024-02-27,34,399365.0
2024-02-28,30,503912.0
2024-02-29,36,205271.0
2024-03-01,29,375957.0
2024-03-02,39,230757.0
2024-03-03,26,283923.0
2024-03-04,35,249525.0
2024-03-05,27,161187.0
2024-03-06,41,252465.0
2024-03-07,33,275819.0
2024-03-08,40,214775.0
2024-03-09,29,208153.0
2024-03-10,46,395691.0
2024-03-11,30,291670.0
2024-03-12,27,325691.0
2024-03-13,38,224702.0
2024-03-14,26,135618.0
2024-03-15,23,166117.0
2024-03-16,36,198078.0
2024-03-17,32,225325.0
2024-03-18,33,302800.0
2024-03-19,34,166092.0
2024-03-20,39,318898.0
2024-03-21,29,181254.0
2024-03-22,32,186243.0
2024-03-23,16,157904.0
2024-03-24,32,477365.0
2024-03-25,34,276172.0
2024-03-26,23,94907.0
2024-03-27,32,189659.0
2024-03-28,31,261050.0
2024-03-29,31,270306.0
2024-03-30,37,296019.0
2024-03-31,61,385028.0
2024-04-01,55,339843.0
2024-04-02,61,662876.0
2024-04-03,58,540216.0
2024-04-04,54,547679.0
2024-04-05,45,465706.0
2024-04-06,73,744219.0
2024-04-07,66,349146.0
2024-04-08,49,324623.0
2024-04-09,60,599944.0
2024-04-10,25,446579.0
2024-04-11,30,386697.0
2024-04-12,36,429143.0
2024-04-13,50,528273.0
2024-04-14,42,317056.0
2024-04-15,36,272595.0
2024-04-16,56,711131.0
2024-04-17,37,345414.0
2024-04-18,38,211386.0
2024-04-19,37,360284.0
2024-04-20,37,224584.0
2024-04-21,52,464061.0
2024-04-22,50,297815.0
2024-04-23,30,292928.0
2024-04-24,42,479098.0
2024-04-25,48,325258.0
2024-04-26,39,451043.0
2024-04-27,35,226209.0
2024-04-28,39,343407.0
2024-04-29,45,379893.0
2024-04-30,29,178984.0
2024-05-01,40,310299.0
2024-05-02,28,132201.0
2024-05-03,34,245348.0
2024-05-04,56,412476.0
2024-05-05,44,233817.0
2024-05-06,43,617070.0
2024-05-07,42,272753.0
2024-05-08,38,424964.0
2024-05-09,44,379362.0
2024-05-10,42,398724.0
2024-05-11,45,340962.0
2024-05-12,54,505048.0
2024-05-13,47,621491.0
2024-05-14,30,258844.0
2024-05-15,39,222117.0
2024-05-16,41,388947.0
2024-05-17,50,448455.0
2024-05-18,40,444244.0
2024-05-19,36,352171.0
2024-05-20,37,279078.0
2024-05-21,40,486503.0
2024-05-22,43,504599.0
2024-05-23,39,440661.0
2024-05-24,48,504729.0
2024-05-25,32,231020.0
2024-05-26,38,302027.0
2024-05-27,27,249276.0
2024-05-28,39,323718.0
2024-05-29,52,306247.0
2024-05-30,39,221020.0
2024-05-31,31,216469.0
2024-06-01,49,320398.0
2024-06-02,49,478989.0
2024-06-03,45,300673.0
2024-06-04,48,293868.0
2024-06-05,41,181127.0
2024-06-06,42,561684.0
2024-06-07,54,419517.0
2024-06-08,53,290007.0
2024-06-09,50,513528.0
2024-06-10,56,435658.0
2024-06-11,59,523121.0
2024-06-12,46,351725.0
2024-06-13,47,388616.0
2024-06-14,45,331782.0
2024-06-15,39,262234.0
2024-06-16,45,229751.0
2024-06-17,30,423549.0
2024-06-18,29,244827.0
2024-06-19,27,193215.0
2024-06-20,52,429654.0
2024-06-21,53,324144.0
2024-06-22,49,361079.0
2024-06-23,55,553693.0
2024-06-24,51,568871.0
2024-06-25,46,344073.0
2024-06-26,30,236712.0
2024-06-27,43,428991.0
2024-06-28,37,317051.0
2024-06-29,48,279398.0
2024-06-30,51,369477.0
2024-07-01,45,301117.0
2024-07-02,50,344219.0
2024-07-03,56,470024.0
2024-07-04,49,386592.0
2024-07-05,56,396351.0
2024-07-06,59,661546.0
2024-07-07,48,334856.0
2024-07-08,47,518794.0
2024-07-09,36,232316.0
2024-07-10,50,464033.0
2024-07-11,42,386014.0
2024-07-12,42,308216.0
2024-07-13,55,479806.0
2024-07-14,36,431872.0
2024-07-15,42,267135.0
2024-07-16,51,634274.0
2024-07-17,58,581536.0
2024-07-18,48,504286.0
2024-07-19,43,343987.0
2024-07-20,53,688073.0
2024-07-21,50,552953.0
2024-07-22,44,272471.0
2024-07-23,47,670481.0
2024-07-24,45,316234.0
2024-07-25,44,364108.0
2024-07-26,40,262143.0
2024-07-27,71,626651.0
2024-07-28,62,614037.0
2024-07-29,48,303804.0
2024-07-30,57,320234.0
2024-07-31,45,308991.0
2024-08-01,53,437647.0
2024-08-02,52,595229.0
2024-08-03,50,645463.0
2024-08-04,58,375794.0
2024-08-05,54,394169.0
2024-08-06,57,582663.0
2024-08-07,50,359874.0
2024-08-08,53,413775.0
2024-08-09,52,545581.0
2024-08-10,56,500685.0
2024-08-11,60,524378.0
2024-08-12,61,686776.0
2024-08-13,54,493527.0
2024-08-14,209,1951437.0
2024-08-15,79,743004.0
2024-08-16,55,568142.0
2024-08-17,48,586683.0
2024-08-18,52,404463.0
2024-08-19,52,346997.0
