order_month,rapidroute_share_pct,late_rate_pct,rto_rate_pct
2024-01-01,16.18,7.79,15.4
2024-02-01,15.51,7.84,10.07
2024-03-01,16.26,9.04,11.72
2024-04-01,16.47,26.02,10.02
2024-05-01,15.9,9.15,10.91
2024-06-01,16.22,22.83,10.25
2024-07-01,15.87,8.46,10.67
2024-08-01,16.48,34.47,13.16
2024-09-01,15.57,9.58,9.23
2024-10-01,15.85,9.59,10.06
2024-11-01,16.0,52.62,12.89
2024-12-01,17.14,51.31,11.59
2025-01-01,17.09,9.96,9.09
2025-02-01,17.67,10.3,8.36
2025-03-01,16.46,20.5,10.11
2025-04-01,16.05,14.73,8.36
2025-05-01,16.77,9.58,8.58
2025-06-01,17.3,23.57,10.31
2025-07-01,29.09,12.11,9.53
2025-08-01,28.27,37.63,10.99
2025-09-01,29.16,13.01,8.87
2025-10-01,28.42,11.89,8.32
2025-11-01,30.21,58.28,10.54
2025-12-01,29.1,53.39,11.27
2026-01-01,29.79,12.73,8.6
2026-02-01,29.85,13.4,9.76
2026-03-01,27.27,28.15,8.53
2026-04-01,30.01,13.62,8.57
2026-05-01,29.84,27.16,9.9
2026-06-01,30.36,11.04,9.68
