order_month,orders,delivered_orders,gmv,net_revenue,new_customers,avg_order_value,cod_share_pct,net_revenue_mom_pct
2024-01-01,692,555,6772318.00,4718533.00,582,9787,77.75,
2024-02-01,877,750,7982704.00,6273387.00,581,9102,71.72,32.95
2024-03-01,1021,859,7779150.00,6032968.00,572,7619,73.46,-3.83
2024-04-01,1354,1167,12246090.00,9371759.00,712,9044,69.94,55.34
2024-05-01,1258,1070,11074640.00,8220046.00,644,8803,71.38,-12.29
2024-06-01,1369,1173,10957412.00,9157216.00,725,8004,68.96,11.40
2024-07-01,1519,1297,13347154.00,10793175.00,771,8787,67.94,17.87
2024-08-01,1820,1511,16419686.00,12413102.00,864,9022,70.11,15.01
2024-09-01,1593,1387,13839492.00,10832734.00,741,8688,67.42,-12.73
2024-10-01,1817,1547,16472497.00,13096807.00,833,9066,67.20,20.90
2024-11-01,2631,2204,23131272.00,17498528.00,1193,8792,66.93,33.61
2024-12-01,2170,1846,19087086.00,14949737.00,1011,8796,65.02,-14.57
2025-01-01,1902,1651,16788508.00,13591814.00,900,8827,63.46,-9.08
2025-02-01,1868,1634,16047350.00,12317216.00,847,8591,62.96,-9.38
2025-03-01,2485,2134,21008164.00,17082717.00,951,8454,64.83,38.69
2025-04-01,2056,1808,16915031.00,13595363.00,962,8227,61.33,-20.41
2025-05-01,2308,2024,20509159.00,15975369.00,1019,8886,62.35,17.51
2025-06-01,2162,1852,18933174.00,14904867.00,904,8757,60.73,-6.70
2025-07-01,2420,2088,21817254.00,17176111.00,1160,9015,62.69,15.24
2025-08-01,2802,2389,24248590.00,18838559.00,1220,8654,60.46,9.68
2025-09-01,2418,2105,22557788.00,18574810.00,1063,9329,59.76,-1.40
2025-10-01,2723,2402,23940991.00,19801210.00,1239,8792,58.50,6.60
2025-11-01,4135,3529,34102383.00,26642458.00,1749,8247,58.79,34.55
2025-12-01,3292,2788,31028516.00,23298960.00,1555,9425,58.29,-12.55
2026-01-01,2820,2456,25583489.00,20967354.00,1339,9072,55.89,-10.01
2026-02-01,2754,2376,22214960.00,17730487.00,1253,8066,55.70,-15.44
2026-03-01,3818,3334,30183324.00,23617580.00,1473,7906,55.76,33.20
2026-04-01,3156,2743,27557950.00,21591463.00,1410,8732,56.08,-8.58
2026-05-01,3284,2831,27877735.00,21462668.00,1450,8489,56.15,-0.60
2026-06-01,3277,2510,27282105.00,19557088.00,1515,8325,53.43,-8.88
