order_month,payment_method,orders,share_pct
2024-09-01,Cash on Delivery,1074,67.42
2024-05-01,Cash on Delivery,898,71.38
2025-07-01,Cash on Delivery,1517,62.69
2025-02-01,Card,362,19.38
2025-12-01,Mobile Wallet,770,23.39
2024-10-01,Card,341,18.77
2026-04-01,Cash on Delivery,1770,56.08
2026-06-01,Card,524,15.99
2025-05-01,Cash on Delivery,1439,62.35
2024-04-01,Mobile Wallet,155,11.45
2024-11-01,Mobile Wallet,374,14.22
2026-02-01,Card,503,18.26
2026-03-01,Mobile Wallet,1036,27.13
2024-03-01,Cash on Delivery,750,73.46
2024-07-01,Cash on Delivery,1032,67.94
2024-08-01,Cash on Delivery,1276,70.11
2024-12-01,Cash on Delivery,1411,65.02
2025-09-01,Cash on Delivery,1445,59.76
2025-04-01,Mobile Wallet,411,19.99
2025-11-01,Cash on Delivery,2431,58.79
2024-06-01,Mobile Wallet,176,12.86
2026-06-01,Mobile Wallet,1002,30.58
2024-02-01,Cash on Delivery,629,71.72
2024-11-01,Card,496,18.85
2024-04-01,Card,252,18.61
2026-01-01,Cash on Delivery,1576,55.89
2026-03-01,Card,653,17.1
2026-02-01,Mobile Wallet,717,26.03
2024-03-01,Mobile Wallet,100,9.79
2025-04-01,Cash on Delivery,1261,61.33
2024-06-01,Cash on Delivery,944,68.96
2024-07-01,Mobile Wallet,183,12.05
2024-08-01,Mobile Wallet,226,12.42
2025-11-01,Mobile Wallet,973,23.53
2025-06-01,Card,384,17.76
2025-03-01,Card,464,18.67
2024-12-01,Mobile Wallet,373,17.19
2025-09-01,Mobile Wallet,536,22.17
2024-01-01,Mobile Wallet,50,7.23
2026-05-01,Mobile Wallet,926,28.2
2025-10-01,Card,497,18.25
2025-08-01,Mobile Wallet,622,22.2
2025-01-01,Mobile Wallet,331,17.4
2025-10-01,Cash on Delivery,1593,58.5
2024-04-01,Cash on Delivery,947,69.94
2024-02-01,Card,169,19.27
2024-11-01,Cash on Delivery,1761,66.93
2026-01-01,Card,522,18.51
2026-03-01,Cash on Delivery,2129,55.76
2025-05-01,Mobile Wallet,433,18.76
2026-06-01,Cash on Delivery,1751,53.43
2024-02-01,Mobile Wallet,79,9.01
2025-05-01,Card,436,18.89
2026-02-01,Cash on Delivery,1534,55.7
2026-01-01,Mobile Wallet,722,25.6
2025-07-01,Mobile Wallet,477,19.71
2024-05-01,Mobile Wallet,139,11.05
2024-09-01,Mobile Wallet,238,14.94
2025-12-01,Cash on Delivery,1919,58.29
2026-04-01,Mobile Wallet,864,27.38
2024-01-01,Cash on Delivery,538,77.75
2025-01-01,Card,364,19.14
2025-08-01,Card,486,17.34
2026-05-01,Cash on Delivery,1844,56.15
2024-01-01,Card,104,15.03
2025-01-01,Cash on Delivery,1207,63.46
2025-08-01,Cash on Delivery,1694,60.46
2025-10-01,Mobile Wallet,633,23.25
2026-05-01,Card,514,15.65
2025-03-01,Cash on Delivery,1611,64.83
2025-06-01,Cash on Delivery,1313,60.73
2024-06-01,Card,249,18.19
2025-04-01,Card,384,18.68
2025-02-01,Mobile Wallet,330,17.67
2024-10-01,Mobile Wallet,255,14.03
2025-12-01,Card,603,18.32
2024-08-01,Card,318,17.47
2024-03-01,Card,171,16.75
2024-07-01,Card,304,20.01
2025-03-01,Mobile Wallet,410,16.5
2025-09-01,Card,437,18.07
2025-06-01,Mobile Wallet,465,21.51
2024-12-01,Card,386,17.79
2025-11-01,Card,731,17.68
2024-10-01,Cash on Delivery,1221,67.2
2024-05-01,Card,221,17.57
2025-02-01,Cash on Delivery,1176,62.96
2024-09-01,Card,281,17.64
2025-07-01,Card,426,17.6
2026-04-01,Card,522,16.54
