customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
C000007,911,1,0.0,1,1,1,Lost
C000015,911,1,0.0,1,1,1,Lost
C000145,893,1,0.0,1,1,1,Lost
C000152,905,1,0.0,1,1,1,Lost
C000184,899,1,0.0,1,1,1,Lost
C000242,794,2,0.0,1,3,1,At risk
C000251,902,1,0.0,1,1,1,Lost
C000266,901,1,0.0,1,1,1,Lost
C000376,896,1,0.0,1,1,1,Lost
C000380,896,1,0.0,1,1,1,Lost
C000422,894,1,0.0,1,1,1,Lost
C000425,890,1,0.0,1,1,1,Lost
C000501,692,1,0.0,1,1,1,Lost
C000550,876,1,0.0,1,1,1,Lost
C000585,873,1,0.0,1,1,1,Lost
C000600,871,1,0.0,1,1,1,Lost
C000604,885,1,0.0,1,1,1,Lost
C000609,886,1,0.0,1,1,1,Lost
C000682,788,1,0.0,1,1,1,Lost
C000753,879,1,0.0,1,1,1,Lost
C000862,875,1,0.0,1,1,1,Lost
C000889,874,1,0.0,1,1,1,Lost
C000983,870,1,0.0,1,1,1,Lost
C000985,870,1,0.0,1,1,1,Lost
C001005,869,1,0.0,1,1,1,Lost
C001073,866,1,0.0,1,1,1,Lost
C001117,864,1,0.0,1,1,1,Lost
C001137,863,1,0.0,1,1,1,Lost
C001182,703,1,0.0,1,1,1,Lost
C001208,851,1,0.0,1,1,1,Lost
C001270,858,1,0.0,1,1,1,Lost
C001305,856,1,0.0,1,1,1,Lost
C001327,856,1,0.0,1,1,1,Lost
C001333,836,1,0.0,1,1,1,Lost
C001393,816,1,0.0,1,1,1,Lost
C001420,849,1,0.0,1,1,1,Lost
C001432,851,1,0.0,1,1,1,Lost
C001536,846,1,0.0,1,1,1,Lost
C001605,844,1,0.0,1,1,1,Lost
C001619,843,1,0.0,1,1,1,Lost
C001626,842,1,0.0,1,1,1,Lost
C001711,837,1,0.0,1,1,1,Lost
C001830,831,1,0.0,1,1,1,Lost
C001896,828,1,0.0,1,1,1,Lost
C001917,828,1,0.0,1,1,1,Lost
C001922,828,1,0.0,1,1,1,Lost
C002002,825,1,0.0,1,1,1,Lost
C002077,820,1,0.0,1,1,1,Lost
C002115,818,1,0.0,1,1,1,Lost
C002154,807,1,0.0,1,1,1,Lost
C002158,818,1,0.0,1,1,1,Lost
C002184,818,1,0.0,1,1,1,Lost
C002203,815,1,0.0,1,1,1,Lost
C002219,817,1,0.0,1,1,1,Lost
C002238,816,1,0.0,1,1,1,Lost
C002266,815,1,0.0,1,1,1,Lost
C002313,814,1,0.0,1,1,1,Lost
C002321,782,2,0.0,1,3,1,At risk
C002338,813,1,0.0,1,1,1,Lost
C002355,813,1,0.0,1,1,1,Lost
C002395,811,1,0.0,1,1,1,Lost
C002436,808,1,0.0,1,1,1,Lost
C002458,808,1,0.0,1,1,1,Lost
C002484,805,1,0.0,1,1,1,Lost
C002488,794,1,0.0,1,1,1,Lost
C002523,805,1,0.0,1,1,1,Lost
C002535,802,1,0.0,1,1,1,Lost
C002613,790,1,0.0,1,1,1,Lost
C002800,794,1,0.0,1,1,1,Lost
C002825,793,1,0.0,1,1,1,Lost
C003010,786,1,0.0,1,1,1,Lost
C003030,779,1,0.0,1,1,1,Lost
C003031,785,1,0.0,1,1,1,Lost
C003103,781,1,0.0,1,1,1,Lost
C003113,778,1,0.0,1,1,1,Lost
C003284,774,1,0.0,1,1,1,Lost
C003298,774,1,0.0,1,1,1,Lost
C003364,765,1,0.0,1,1,1,Lost
C003375,771,1,0.0,1,1,1,Lost
C003584,761,1,0.0,1,1,1,Lost
C003646,760,1,0.0,1,1,1,Lost
C003660,751,1,0.0,1,1,1,Lost
C003687,758,1,0.0,1,1,1,Lost
