seller_id,seller_name,category,items_delivered,items_returned,not_as_described_returns,return_rate_pct,category_return_rate_pct,z_score,flagged
S0001,Madina Enterprises,Fashion,289,40,4,13.84,14.58,-0.36,False
S0002,Ravi Traders,Fashion,258,32,2,12.4,14.58,-0.99,False
S0003,Clifton Traders,Fashion,760,209,136,27.5,14.58,10.09,True
S0004,Rehmat Emporium,Fashion,1279,181,23,14.15,14.58,-0.43,False
S0005,Madina Store,Fashion,390,51,9,13.08,14.58,-0.84,False
S0006,Indus Enterprises,Fashion,201,34,6,16.92,14.58,0.94,False
S0007,Hayat Enterprises,Fashion,113,13,1,11.5,14.58,-0.93,False
S0008,Clifton Collection,Fashion,230,37,3,16.09,14.58,0.65,False
S0009,Anarkali Mart,Fashion,136,23,5,16.91,14.58,0.77,False
S0010,Liberty Traders,Fashion,989,134,12,13.55,14.58,-0.92,False
S0011,Sitara Store,Fashion,753,106,19,14.08,14.58,-0.39,False
S0012,Rehmat Enterprises,Fashion,1421,193,24,13.58,14.58,-1.07,False
S0013,Ravi Emporium,Fashion,1073,143,23,13.33,14.58,-1.16,False
S0014,Rehmat Enterprises,Fashion,2493,339,53,13.6,14.58,-1.39,False
S0015,Gulberg Store,Fashion,816,112,14,13.73,14.58,-0.69,False
S0016,Anarkali Emporium,Fashion,493,76,7,15.42,14.58,0.53,False
S0018,Johar Traders,Fashion,49,6,1,12.24,14.58,-0.46,False
S0019,Bolan Enterprises,Fashion,287,29,7,10.1,14.58,-2.15,False
S0020,Sitara Mart,Fashion,3380,462,68,13.67,14.58,-1.5,False
S0021,Bolan Emporium,Fashion,59,4,0,6.78,14.58,-1.7,False
S0022,Margalla Traders,Fashion,653,83,11,12.71,14.58,-1.35,False
S0023,Barkat Collection,Fashion,456,59,7,12.94,14.58,-0.99,False
S0024,Liberty Store,Fashion,1552,215,33,13.85,14.58,-0.81,False
S0025,Johar Mart,Fashion,311,80,46,25.72,14.58,5.57,True
S0026,Saddar Outlet,Fashion,445,72,8,16.18,14.58,0.96,False
S0027,Chenab Enterprises,Fashion,354,50,2,14.12,14.58,-0.24,False
S0028,Madina Traders,Fashion,333,79,46,23.72,14.58,4.73,True
S0029,Barkat Mart,Fashion,396,62,8,15.66,14.58,0.61,False
S0030,Al-Noor Enterprises,Fashion,514,65,7,12.65,14.58,-1.24,False
S0031,Crescent Emporium,Fashion,70,9,0,12.86,14.58,-0.41,False
S0032,Rehmat Traders,Fashion,93,7,0,7.53,14.58,-1.93,False
S0033,Hayat Traders,Fashion,1660,247,32,14.88,14.58,0.35,False
S0034,Bolan Emporium,Footwear,318,30,3,9.43,12.19,-1.5,False
S0035,Indus Outlet,Footwear,392,46,7,11.73,12.19,-0.27,False
S0036,Chenab Store,Footwear,725,70,9,9.66,12.19,-2.08,False
S0037,Clifton Store,Footwear,1510,172,23,11.39,12.19,-0.95,False
S0038,Mehran Store,Footwear,642,67,7,10.44,12.19,-1.36,False
S0039,Clifton Traders,Footwear,888,109,10,12.27,12.19,0.08,False
S0040,Crescent Collection,Footwear,40,8,1,20.0,12.19,1.51,False
S0041,Margalla Traders,Footwear,843,93,14,11.03,12.19,-1.02,False
S0042,Crescent Store,Footwear,902,188,107,20.84,12.19,7.95,True
S0043,Bolan Mart,Footwear,720,73,9,10.14,12.19,-1.68,False
S0044,Sitara Collection,Footwear,200,19,1,9.5,12.19,-1.16,False
S0045,Chenab Store,Electronics,566,33,7,5.83,6.53,-0.67,False
S0046,Mehran Outlet,Electronics,321,58,35,18.07,6.53,8.37,True
S0047,Al-Noor Enterprises,Electronics,1661,93,14,5.6,6.53,-1.54,False
S0048,Barkat Enterprises,Electronics,486,36,6,7.41,6.53,0.78,False
S0049,Al-Noor Traders,Electronics,694,41,11,5.91,6.53,-0.66,False
S0050,Saddar Emporium,Electronics,139,2,1,1.44,6.53,-2.43,False
S0051,Bolan Enterprises,Electronics,161,7,2,4.35,6.53,-1.12,False
S0052,Sitara Traders,Electronics,816,62,13,7.6,6.53,1.23,False
S0053,Bolan Traders,Electronics,958,44,9,4.59,6.53,-2.43,False
S0054,Anarkali Collection,Electronics,170,11,1,6.47,6.53,-0.03,False
S0055,Mehran Traders,Electronics,395,31,4,7.85,6.53,1.06,False
S0056,Bolan Mart,Electronics,261,14,3,5.36,6.53,-0.76,False
S0057,Clifton Mart,Electronics,2031,138,21,6.79,6.53,0.48,False
S0058,Crescent Emporium,Electronics,223,10,3,4.48,6.53,-1.24,False
S0059,Al-Noor Outlet,Mobile Accessories,776,50,11,6.44,6.63,-0.21,False
S0060,Anarkali Store,Mobile Accessories,285,16,3,5.61,6.63,-0.69,False
S0061,Chenab Enterprises,Mobile Accessories,188,19,6,10.11,6.63,1.92,False
S0062,Rehmat Emporium,Mobile Accessories,667,40,9,6.0,6.63,-0.65,False
